"3749","Mosiah Hall"
"2413","Augustine Birrell"
"2412","G. (George) Thibaut"
"35049","Graham Everitt"
"2411","Laura S. (Laura Smith) Haviland"
"2410","Charles Jean Jacques Joseph Ardant du Picq"
"3740","Ebenezer Davies"
"3741","O. Douglas"
"36378","Jenny Wylie"
"3742","Theodora R. (Theodora Robinson) Jenness"
"3745","United States. War Department"
"3746","Juan Eugenio Hartzenbusch"
"2418","Ivan Aleksandrovich Goncharov"
"2417","I. Giberne (Isabel Giberne) Sieveking"
"3760","William Edward Frye"
"2427","Laozi"
"2425","Bracebridge Hemyng"
"2423","George W. Gough"
"2422","G. H. (George Henry) Needler"
"2421","Theophilus F. (Theophilus Francis) Rodenbough"
"2420","Paul Henri Thiry Holbach"
"3751","Horace Green"
"3753","A. H. (Arthur Henry) Bullen"
"3755","Maharani of Cooch Behar Sunity Devee"
"3757","Frederick Palmer"
"2428","Henry T. (Henry Thorne) Sell"
"3770","Mrs. Lambert Chambers"
"3772","Hector France"
"2441","Don Carlos Seitz"
"2440","Hesba Stretton"
"1107","Constance Lindsay Skinner"
"2438","William H. (William Harris) Wharton"
"2437","Hilaire Belloc"
"1106","Ellsworth Huntington"
"1105","Theodor Mommsen"
"2434","Ben Macomber"
"1102","Sydney George Fisher"
"2433","Henry Llewellyn Williams"
"1101","William R. (William Robert) Shepherd"
"1100","Henry Ford"
"3763","Jacques Futrelle"
"3764","William Edmondstoune Aytoun"
"3765","Samuel Charles Hill"
"3766","W. (William) Sanday"
"3767","John Morley"
"3768","Jeanie Gould Lincoln"
"1109","John Reed"
"3769","Tenney Frank"
"1108","Walter De la Mare"
"2439","Emma Gellibrand"
"3781","Samuel Wilderspin"
"3782","Frederick Ferdinand Moore"
"1121","Paul Heyse"
"2451","Stephen Lucius Gwynn"
"1120","Rudolf Erich Raspe"
"2450","Swami Abhedananda"
"1118","William Patten"
"1117","John D. (John Daniel) Barry"
"2447","John Locke"
"1116","Joseph Butler"
"2446","Susan Glaspell"
"1115","Augustus J. Thébaud"
"1114","James Legge"
"2444","Henry Mills Alden"
"1113","Ralph Delahaye Paine"
"1112","Archer Butler Hulbert"
"1111","Carl L. (Carl Lotus) Becker"
"2442","Clément Juglar"
"3773","Fritz Kreisler"
"3775","Katharine Furse"
"3776","D. L. (David Leslie) Murray"
"3778","John Ward"
"3779","Harry De Windt"
"1119","William Allan Neilson"
"3790","Vito Marcantonio"
"3792","Mildred Aldrich"
"3793","James Weldon Johnson"
"3794","Elva Sophronia Smith"
"2463","Margaret Widdemer"
"1132","Grady Ward"
"1130","Adele Szold"
"2461","Sheldon Cheney"
"1129","Maurice Liber"
"1128","Juanita Helm Floyd"
"1127","John Burroughs"
"2457","Ring Lardner"
"1125","Margaret Pedler"
"1124","Tom Taylor"
"2455","Sallust"
"2454","W. M. Flinders (William Matthew Flinders) Petrie"
"1123","Carl Russell Fish"
"1122","Hippolyte Havel"
"3784","John Bourne"
"3785","S. B. Banerjea"
"3787","John Moncure Wetterau"
"3789","Arthur Ruhl"
"2474","Paramahansa Yogananda"
"1142","Ralph Connor"
"2473","Marie Joseph Paul Yves Roch Gilbert Du Motier Lafayette"
"2472","George Sale"
"1141","John B. (John Benjamin) Firth"
"1140","Heinrich Keil"
"2470","Joseph Jacobs"
"1139","Katharine Pyle"
"1138","Ella Wheeler Wilcox"
"2469","Arthur Helps"
"2468","O. F. Walton"
"1136","Rudolf Tombo"
"1135","Albrecht Dürer"
"2466","Mary Cole"
"2465","Mildred Maddocks Bentley"
"2464","William Pittenger"
"1133","Thomas Hobbes"
"3795","J. Allanson (James Allanson) Picton"
"3796","A. M. (Alice Muriel) Williamson"
"3797","Samuel Finley Breese Morse"
"1154","Edward Samuel Corwin"
"2485","Louey Chisholm"
"2484","John Ames Mitchell"
"1153","Hastings Crossley"
"2483","Isaac Landman"
"1151","John Hanning Speke"
"2482","John Cournos"
"2481","Fyodor Sologub"
"2480","D. G. (David George) Hogarth"
"1149","Artemus Ward"
